geoid,name,year,total_est,total_se
04000US37,North Carolina,2015,6.3682942,.12225083
04000US37,North Carolina,2016,5.7533917,.11363497
04000US37,North Carolina,2017,5.775146,.14129055
04000US38,North Dakota,2009,4.7589011,.31592464
04000US38,North Dakota,2010,5.1114073,.35551441
04000US38,North Dakota,2011,5.778295,.33461601
04000US38,North Dakota,2012,5.325767,.350355
04000US38,North Dakota,2013,5.325882,.39762905
04000US38,North Dakota,2014,5.149117,.43736747
04000US38,North Dakota,2015,4.9388309,.37172186
04000US38,North Dakota,2016,5.1181402,.41767299
04000US38,North Dakota,2017,5.1500764,.39706492
04000US39,Ohio,2009,8.3189659,.10586821
04000US39,Ohio,2010,8.1556816,.12095332
04000US39,Ohio,2011,8.4751425,.10768081
04000US39,Ohio,2012,8.398365,.10565615
04000US39,Ohio,2013,8.4319057,.11120585
04000US39,Ohio,2014,8.8063545,.105754
04000US39,Ohio,2015,8.4011507,.12653686
04000US39,Ohio,2016,8.1389818,.1233064
04000US39,Ohio,2017,7.9295645,.10283451
04000US40,Oklahoma,2009,5.7746086,.17148697
04000US40,Oklahoma,2010,5.4889216,.15982026
04000US40,Oklahoma,2011,5.7785549,.15771587
04000US40,Oklahoma,2012,5.7629714,.10917544
04000US40,Oklahoma,2013,5.8722,.14540896
04000US40,Oklahoma,2014,5.9524894,.14183427
04000US40,Oklahoma,2015,5.5705819,.14624591
04000US40,Oklahoma,2016,5.456728,.13851792
04000US40,Oklahoma,2017,5.5497823,.18360287
04000US41,Oregon,2009,7.2049012,.20001416
04000US41,Oregon,2010,7.9761825,.19527772
04000US41,Oregon,2011,7.9578557,.23858722
04000US41,Oregon,2012,8.2683954,.25777042
04000US41,Oregon,2013,8.0050583,.20792042
04000US41,Oregon,2014,7.8547144,.18359539
04000US41,Oregon,2015,8.183917,.2251115
04000US41,Oregon,2016,7.3652492,.20453569
04000US41,Oregon,2017,7.2407999,.21967189
04000US42,Pennsylvania,2009,11.286064,.12609489
04000US42,Pennsylvania,2010,11.671141,.11863934
04000US42,Pennsylvania,2011,12.049765,.11044381
04000US42,Pennsylvania,2012,11.56146,.12534383
04000US42,Pennsylvania,2013,11.281352,.12784417
04000US42,Pennsylvania,2014,11.351843,.13919449
